year,playlist_genre,danceability,valence,energy,loudness,mode
1957,r&b,0.565,0.906,0.962,-2.981,1.0
1957,rock,0.474,0.917,0.598,-5.023,1.0
1958,rock,0.647,0.915,0.582,-9.538,0.0
1960,r&b,0.38625,0.579,0.46475,-9.0115,1.0
1961,r&b,0.585,0.433,0.036,-14.145,1.0
1962,r&b,0.816,0.912,0.514,-8.741,1.0
1962,rock,0.816,0.912,0.514,-8.741,1.0
1963,r&b,0.343,0.356,0.76,-7.146,1.0
1963,rock,0.5115000000000001,0.68825,0.51275,-13.000250000000001,1.0
1964,r&b,0.611,0.568,0.359,-8.026,1.0
1964,rock,0.570125,0.7625,0.79325,-6.6762500000000005,1.0
1965,latin,0.579,0.673,0.419,-10.72,1.0
1965,r&b,0.45533333333333337,0.4996666666666667,0.5403333333333333,-9.755666666666666,1.0
1965,rock,0.5882499999999999,0.7455,0.782625,-7.9396249999999995,0.875
1966,r&b,0.5353333333333333,0.5556666666666666,0.48333333333333334,-13.778333333333334,1.0
1966,rock,0.4505625,0.6379374999999999,0.677,-8.629,0.5
1967,r&b,0.5668,0.5791999999999999,0.5172000000000001,-9.140600000000001,0.8
1967,rap,0.491,0.907,0.583,-10.964,1.0
1967,rock,0.4804857142857143,0.5710285714285714,0.5680285714285714,-9.825628571428572,0.6857142857142857
1968,r&b,0.6715,0.909,0.4925,-10.9405,0.5
1968,rap,0.6255000000000001,0.8105,0.4075,-11.4535,1.0
1968,rock,0.4385263157894737,0.5589473684210526,0.6594210526315789,-10.676789473684211,0.8947368421052632
1969,pop,0.64,0.663,0.663,-7.516,1.0
1969,r&b,0.45,0.68125,0.67225,-10.68475,0.75
1969,rap,0.545,0.886,0.669,-6.239,0.0
1969,rock,0.54098,0.61136,0.627,-9.58972,0.8
1970,pop,0.564,0.619,0.932,-10.068,1.0
1970,r&b,0.6497142857142857,0.7431428571428571,0.6017142857142856,-9.604857142857144,0.8571428571428571
1970,rap,0.3995,0.5885,0.7190000000000001,-6.721,1.0
1970,rock,0.5278055555555556,0.6207083333333334,0.6221125,-9.99325,0.8194444444444444
1971,r&b,0.51825,0.459375,0.4885,-10.59375,0.25
1971,rap,0.545,0.714,0.757,-5.228,1.0
1971,rock,0.5207272727272727,0.5266515151515152,0.6423590909090908,-10.227060606060606,0.7424242424242424
1972,r&b,0.6732,0.7525999999999999,0.7712,-7.5098,1.0
1972,rap,0.567,0.625,0.687,-10.536,1.0
1972,rock,0.5524411764705883,0.6681911764705882,0.6026176470588236,-11.06935294117647,0.6323529411764706
1973,pop,0.547,0.933,0.82,-6.728,1.0
1973,r&b,0.6676,0.6157999999999999,0.7465999999999999,-9.355599999999999,0.6
1973,rap,0.645,0.521,0.453,-10.087,0.0
1973,rock,0.4800412371134021,0.5883814432989691,0.6412886597938144,-9.390865979381443,0.8041237113402062
1974,pop,0.597,0.886,0.605,-12.013,1.0
1974,r&b,0.6872,0.8621000000000001,0.6283000000000001,-10.175999999999998,0.5
1974,rap,0.5954999999999999,0.6775,0.45699999999999996,-11.2835,1.0
1974,rock,0.5006119402985074,0.5866119402985074,0.6293432835820895,-10.276835820895522,0.746268656716418
1975,pop,0.714,0.841,0.715,-9.965,1.0
1975,r&b,0.657625,0.68625,0.588125,-12.822875,0.875
1975,rock,0.5086060606060606,0.5604868686868687,0.5765959595959596,-10.683242424242424,0.7676767676767676
1976,latin,0.539,0.752,0.884,-6.53,1.0
1976,pop,0.43,0.5405,0.734,-6.8870000000000005,1.0
1976,r&b,0.6160000000000001,0.6813333333333333,0.583,-11.096222222222222,0.7777777777777778
1976,rap,0.612,0.695,0.462,-9.519,0.0
1976,rock,0.52455,0.5894975,0.6498083333333333,-9.029516666666666,0.8083333333333333
1977,edm,0.481,0.937,0.632,-8.17,1.0
1977,pop,0.373,0.696,0.869,-7.719,1.0
1977,r&b,0.5783333333333333,0.6966666666666667,0.82,-9.707666666666666,0.6666666666666666
1977,rock,0.5389894736842106,0.5765789473684211,0.6532263157894737,-8.883715789473683,0.8105263157894737
1978,edm,0.883,0.964,0.333,-17.848,0.0
1978,pop,0.5405714285714286,0.5578571428571429,0.753,-8.040428571428572,0.42857142857142855
1978,r&b,0.8061999999999999,0.8464,0.6466000000000001,-9.0652,1.0
1978,rap,0.714,0.964,0.937,-2.947,1.0
1978,rock,0.5658879310344828,0.6367241379310344,0.6976896551724138,-8.751853448275863,0.646551724137931
1979,edm,0.794,0.6745,0.5645,-11.8205,0.5
1979,latin,0.7913333333333333,0.9129999999999999,0.7130000000000001,-5.300999999999999,0.6666666666666666
1979,pop,0.58975,0.7132499999999999,0.74,-8.93375,0.75
1979,r&b,0.6332,0.7834000000000001,0.6404,-11.9244,0.6
1979,rock,0.5742714285714285,0.6357371428571428,0.6805571428571429,-8.729899999999999,0.6857142857142857
1980,edm,0.573,0.707,0.893,-8.056,0.0
1980,pop,0.5571666666666667,0.7063333333333333,0.6798333333333334,-9.604166666666666,1.0
1980,r&b,0.7230000000000001,0.7647999999999999,0.6970000000000001,-9.2566,0.6
1980,rock,0.5433764705882352,0.6100705882352941,0.7004,-8.430270588235294,0.8352941176470589
1981,edm,0.734,0.76,0.583,-11.866,1.0
1981,latin,0.854,0.247,0.936,-7.073,1.0
1981,pop,0.6351428571428571,0.7294999999999999,0.7373571428571429,-8.483642857142858,0.7857142857142857
1981,r&b,0.541,0.7376666666666667,0.7483333333333334,-9.420333333333334,0.6666666666666666
1981,rap,0.7305,0.715,0.38749999999999996,-15.5015,1.0
1981,rock,0.5496969696969697,0.6611212121212121,0.7128484848484848,-8.498469696969696,0.7121212121212122
1982,edm,0.8345,0.8680000000000001,0.49949999999999994,-12.66,0.0
1982,latin,0.75575,0.81075,0.5815,-10.0485,0.25
1982,pop,0.642625,0.630625,0.790875,-7.7725,0.5
1982,r&b,0.8034000000000001,0.7258,0.5204,-11.8286,0.8
1982,rap,0.863,0.8235,0.737,-7.142,0.0
1982,rock,0.5955890410958904,0.6013835616438357,0.6897397260273972,-8.348383561643836,0.6712328767123288
1983,edm,0.758,0.824,0.829,-6.622,1.0
1983,latin,0.7685,0.5885,0.7605,-14.6285,0.0
1983,pop,0.6381538461538461,0.628,0.763923076923077,-7.267384615384615,0.5384615384615384
1983,r&b,0.7321428571428571,0.7287142857142858,0.5834285714285714,-11.223714285714285,0.5714285714285714
1983,rap,0.773,0.889,0.45,-15.083,0.0
1983,rock,0.5795957446808511,0.6158829787234043,0.7592553191489362,-7.945872340425533,0.6595744680851063
1984,latin,0.732,0.776,0.836,-6.6945,1.0
1984,pop,0.5975263157894737,0.6165526315789474,0.5802631578947368,-11.079736842105264,0.631578947368421
1984,r&b,0.6283,0.6795,0.7857000000000001,-7.6411,0.6
1984,rap,0.919,0.884,0.975,-5.636,1.0
1984,rock,0.5458333333333334,0.5928277777777778,0.7358425925925927,-7.995268518518519,0.7037037037037037
1985,latin,0.6709999999999999,0.5285,0.5926666666666667,-9.706166666666666,0.6666666666666666
1985,pop,0.568111111111111,0.6642222222222222,0.6825555555555556,-10.024000000000001,0.3333333333333333
1985,r&b,0.6542,0.6164799999999999,0.4999333333333334,-11.048666666666666,0.6
1985,rap,0.797,0.5443333333333333,0.6176666666666667,-8.956000000000001,0.3333333333333333
1985,rock,0.5972972972972973,0.6142342342342343,0.6873423423423424,-9.395765765765766,0.6216216216216216
1986,latin,0.712,0.7618,0.7856,-7.207000000000001,0.4
1986,pop,0.6426363636363637,0.696,0.7423636363636364,-8.624,0.5454545454545454
1986,r&b,0.6897142857142857,0.6791785714285714,0.6159285714285715,-11.753392857142858,0.6428571428571429
1986,rap,0.775,0.9175,0.6579999999999999,-10.664000000000001,0.0
1986,rock,0.55988,0.60612,0.6933466666666667,-10.101746666666667,0.7733333333333333
1987,latin,0.654,0.7898888888888889,0.6754444444444444,-11.629444444444443,0.5555555555555556
1987,pop,0.5809047619047619,0.5801714285714286,0.7708571428571428,-9.558809523809524,0.8095238095238095
1987,r&b,0.7166129032258064,0.7272258064516129,0.5738387096774195,-12.472290322580646,0.5806451612903226
1987,rap,0.753375,0.62825,0.590375,-11.414125,0.875
1987,rock,0.4913508771929825,0.5288157894736841,0.8133245614035087,-7.900131578947368,0.8508771929824561
1988,latin,0.6733125,0.6225625,0.678375,-11.626,0.5
1988,pop,0.6703333333333333,0.5443333333333333,0.7027777777777778,-9.379111111111111,0.5555555555555556
1988,r&b,0.7245483870967742,0.7357903225806451,0.6115645161290323,-11.952548387096774,0.6290322580645161
1988,rap,0.8254285714285714,0.6619428571428572,0.6550285714285714,-10.210714285714285,0.5142857142857142
1988,rock,0.5653661971830986,0.5720845070422536,0.7197887323943661,-9.048267605633804,0.9154929577464789
1989,latin,0.7017272727272728,0.7357272727272727,0.5937272727272727,-11.650545454545455,0.6363636363636364
1989,pop,0.6302,0.6719999999999999,0.6635,-10.1667,0.8
1989,r&b,0.7068723404255319,0.6880191489361702,0.7266808510638297,-10.24168085106383,0.5106382978723404
1989,rap,0.8484,0.7632,0.6598,-10.533,0.8
1989,rock,0.5133571428571428,0.5110535714285714,0.7171428571428571,-9.428017857142859,0.6428571428571429
1990,edm,0.72,0.914,0.567,-13.863,0.0
1990,latin,0.6561176470588235,0.6039411764705882,0.5851176470588236,-10.461705882352941,0.8235294117647058
1990,pop,0.6025625,0.6194375,0.768625,-9.0190625,0.6875
1990,r&b,0.7136753246753247,0.6767402597402598,0.7013506493506493,-10.254142857142856,0.6233766233766234
1990,rap,0.8012857142857143,0.5791428571428572,0.5471428571428572,-12.129571428571428,0.42857142857142855
1990,rock,0.5187391304347827,0.5041543478260869,0.6822608695652174,-8.74245652173913,0.8478260869565217
1991,edm,0.665,0.935,0.811,-12.789,1.0
1991,latin,0.7293333333333334,0.6767500000000001,0.6750833333333333,-11.562583333333334,0.75
1991,pop,0.6772857142857143,0.589857142857143,0.7452857142857142,-8.782,0.2857142857142857
1991,r&b,0.6996190476190476,0.6577142857142857,0.6754595238095238,-9.78527380952381,0.5
1991,rap,0.77884,0.65168,0.6275200000000001,-11.35972,0.68
1991,rock,0.5007875,0.487925,0.713625,-8.739675,0.6
1992,latin,0.719,0.52,0.681,-8.733666666666666,1.0
1992,pop,0.6826666666666666,0.7535,0.7398333333333333,-10.225666666666667,0.5
1992,r&b,0.6988865979381443,0.6529484536082474,0.6635649484536081,-9.357639175257733,0.4845360824742268
1992,rap,0.766390243902439,0.6527560975609756,0.6450975609756098,-10.313829268292684,0.5121951219512195
1992,rock,0.5559487179487179,0.5796410256410257,0.7039230769230769,-9.085538461538462,0.7692307692307693
1993,edm,0.794,0.85,0.632,-9.358,0.0
1993,latin,0.7085384615384616,0.6937692307692308,0.6361538461538461,-9.412307692307692,0.5384615384615384
1993,pop,0.6742857142857144,0.6282857142857142,0.8525714285714285,-8.989285714285714,0.14285714285714285
1993,r&b,0.6837125000000001,0.602025,0.6345,-9.288725,0.625
1993,rap,0.7702777777777778,0.6006527777777778,0.630125,-9.928777777777777,0.5694444444444444
